Rank,Country,Gold,Silver,Bronze,Total
1,United States,9,15,13,37
2,Germany,10,13,7,30
3,Canada,14,7,5,26
4,Norway,9,8,6,23
5,Austria,4,6,6,16
6,Russia,3,5,7,15
7,South Korea,6,6,2,14
8,China,5,2,4,11
8,Sweden,5,2,4,11
10,France,2,3,6,11
11,Switzerland,6,0,3,9
12,Netherlands,4,1,3,8
13,Czech Republic,2,0,4,6
14,Poland,1,3,2,6
15,Italy,1,1,3,5
16,Japan,0,3,2,5
17,Finland,0,1,4,5
18,Australia,2,1,0,3
19,Belarus,1,1,1,3
19,Slovakia,1,1,1,3
21,Croatia,0,2,1,3
21,Slovenia,0,2,1,3
23,Latvia,0,2,0,2
24,Great Britain,1,0,0,1
25,Estonia,0,1,0,1
25,Kazakhstan,0,1,0,1
